"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"2128195","0","1","1","0"
"2128196","0","1","1","0"
"2128197","0","0","1","0"
"2128198","0","1","1","0"
"2128199","0","0","1","0"
"2128200","0","1","1","0"
"2128201","0","1","1","0"
"2128202","0","0","1","0"
"2128203","0","0","1","0"
"2128204","0","1","1","0"
"2128205","0","1","1","0"
"2128206","0","0","1","0"
"2128209","0","1","1","0"
"2128215","0","0","1","0"
"2128216","0","0","1","0"
"2128217","0","1","1","0"
"2128220","0","0","1","0"
"2128221","0","1","1","0"
"2128225","0","0","1","0"
"2128226","0","1","1","0"
"2128227","0","0","1","0"
"2128228","0","1","1","0"
"2128232","0","0","1","0"
"2128233","0","1","1","0"
"2128236","0","0","1","0"
"2128237","0","0","1","0"
"2128238","0","1","1","0"
"2128239","0","0","1","0"
"2128240","0","1","1","0"
"2128241","0","0","1","0"
"2128242","0","1","1","0"
"2128243","0","1","1","0"
"2128244","0","0","1","0"
"2128245","0","1","1","0"
"2128246","0","1","1","0"
"2128247","0","0","1","0"
"2128248","0","1","1","0"
"2128249","0","0","1","0"
"2128250","0","0","1","0"
